city,registered,household,average_dog,English
新北市,13087,9675,1.35,New Taipei City
臺北市,7801,6201,1.26,Taipei City
臺中市,12484,9180,1.36,Taichung City
臺南市,8215,5278,1.56,Tainan City
高雄市,12647,7903,1.6,Kaohsiung City
桃園市,8926,6997,1.28,Taoyuan
宜蘭縣,1699,1297,1.31,Yilan
新竹縣,2331,1780,1.31,Hsinchu
苗栗縣,2700,1891,1.43,Miaoli
彰化縣,5818,3318,1.75,Changhua
南投縣,3335,1652,2.02,Nantou
雲林縣,3664,2330,1.57,Yunlin
嘉義縣,2881,1526,1.89,Chiayi
屏東縣,4069,2581,1.58,Pingtung
臺東縣,2242,1602,1.4,Taitung
花蓮縣,2957,2106,1.4,Hualien
澎湖縣,474,390,1.22,Penghu
基隆市,1108,880,1.26,Keelung City
新竹市,1297,1058,1.23,Hsinchu City
嘉義市,775,604,1.28,Chiayi City
金門縣,521,425,1.23,Kinmen
連江縣,42,36,1.17,Lienchiang
合計,99073,68710,1.44,
