city,registered,household,average_dog,English
新北市,11894,2571,4.63,New Taipei City
臺北市,5955,1607,3.71,Taipei City
臺中市,10795,2679,4.03,Taichung City
臺南市,7337,1360,5.39,Tainan City
高雄市,11062,2232,4.96,Kaohsiung City
桃園市,8224,1730,4.75,Taoyuan
宜蘭縣,1846,385,4.79,Yilan
新竹縣,2394,454,5.27,Hsinchu
苗栗縣,2694,615,4.38,Miaoli
彰化縣,5262,847,6.21,Changhua
南投縣,3304,451,7.33,Nantou
雲林縣,2725,657,4.15,Yunlin
嘉義縣,2063,366,5.64,Chiayi
屏東縣,4169,622,6.7,Pingtung
臺東縣,2169,635,3.42,Taitung
花蓮縣,3084,878,3.51,Hualien
澎湖縣,372,107,3.48,Penghu
基隆市,1151,239,4.82,Keelung City
新竹市,1368,260,5.26,Hsinchu City
嘉義市,878,171,5.13,Chiayi City
金門縣,374,127,2.94,Kinmen
連江縣,22,7,3.14,Lienchiang
合計,89142,19000,4.69,
