city,registered,household,average_dog,English
新北市,12802,7043,1.82,New Taipei City
臺北市,7035,4397,1.6,Taipei City
臺中市,11891,6837,1.74,Taichung City
臺南市,9216,3960,2.33,Tainan City
高雄市,12721,6255,2.03,Kaohsiung City
桃園市,9447,5486,1.72,Taoyuan
宜蘭縣,1768,1032,1.71,Yilan
新竹縣,2195,1229,1.79,Hsinchu
苗栗縣,2677,1347,1.99,Miaoli
彰化縣,5386,2509,2.15,Changhua
南投縣,3397,1333,2.55,Nantou
雲林縣,2925,1785,1.64,Yunlin
嘉義縣,2510,1231,2.04,Chiayi
屏東縣,4761,2308,2.06,Pingtung
臺東縣,2522,1502,1.68,Taitung
花蓮縣,3365,1813,1.86,Hualien
澎湖縣,345,209,1.65,Penghu
基隆市,1266,706,1.79,Keelung City
新竹市,1389,793,1.75,Hsinchu City
嘉義市,885,492,1.8,Chiayi City
金門縣,474,276,1.72,Kinmen
連江縣,43,28,1.54,Lienchiang
合計,99020,52571,1.88,
