city,registered,household,average_dog,English
新北市,13795,10540,1.31,New Taipei City
臺北市,7979,6454,1.24,Taipei City
臺中市,13076,9844,1.33,Taichung City
臺南市,8702,4987,1.74,Tainan City
高雄市,12993,8537,1.52,Kaohsiung City
桃園市,9453,7530,1.26,Taoyuan
宜蘭縣,1759,1369,1.28,Yilan
新竹縣,2404,1816,1.32,Hsinchu
苗栗縣,3529,2468,1.43,Miaoli
彰化縣,5271,3504,1.5,Changhua
南投縣,3170,1897,1.67,Nantou
雲林縣,3521,2482,1.42,Yunlin
嘉義縣,2120,1529,1.39,Chiayi
屏東縣,3761,2435,1.54,Pingtung
臺東縣,2383,1823,1.31,Taitung
花蓮縣,3060,2196,1.39,Hualien
澎湖縣,609,429,1.42,Penghu
基隆市,1245,990,1.26,Keelung City
新竹市,1357,1064,1.28,Hsinchu City
嘉義市,870,711,1.22,Chiayi City
金門縣,602,480,1.25,Kinmen
連江縣,51,35,1.46,Lienchiang
合計,101710,73120,1.39,
